trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
40,False,"{'a': 0.9810476695495772, 'e': 0.9810476695495772}",20,0,-18.555492101686653,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
41,False,"{'a': 0.9800665778412416, 'e': 0.9800665778412416}",20,0,-107.32834505593628,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
42,False,"{'a': 0.9790609845195051, 'e': 0.9790609845195051}",20,0,-132.5143928880839,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
43,False,"{'a': 0.9780309147241483, 'e': 0.9780309147241483}",20,0,-160.36281763278404,"{0: 7, 1: 4, 2: 5, 3: 3, 4: 1}",0
44,False,"{'a': 0.9769763942068623, 'e': 0.9769763942068623}",30,0,-101.65828422420218,"{0: 21, 1: 3, 2: 3, 3: 2, 4: 1}",0
45,False,"{'a': 0.9758974493306055, 'e': 0.9758974493306055}",25,0,-100.33179282755322,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
46,False,"{'a': 0.9747941070689433, 'e': 0.9747941070689433}",25,0,-166.64318592549907,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 2}",0
47,False,"{'a': 0.9736663950053749, 'e': 0.9736663950053749}",25,0,-60.333132820226005,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
48,False,"{'a': 0.972514341332643, 'e': 0.972514341332643}",25,13,-73.2160539910679,"{0: 5, 1: 4, 2: 2, 3: 0, 4: 1}",1
49,False,"{'a': 0.9713379748520297, 'e': 0.9713379748520297}",20,0,-118.82643733707393,"{0: 9, 1: 2, 2: 8, 3: 0, 4: 1}",0
50,False,"{'a': 0.9701373249726354, 'e': 0.9701373249726354}",20,0,-147.67470032723713,"{0: 7, 1: 3, 2: 8, 3: 1, 4: 1}",0
51,False,"{'a': 0.9689124217106447, 'e': 0.9689124217106447}",35,0,-122.41418088161211,"{0: 25, 1: 4, 2: 3, 3: 1, 4: 2}",0
52,False,"{'a': 0.9676632956885756, 'e': 0.9676632956885756}",20,0,-167.84013631568612,"{0: 9, 1: 1, 2: 7, 3: 1, 4: 2}",0
53,False,"{'a': 0.9663899781345132, 'e': 0.9663899781345132}",35,0,-152.81549797736147,"{0: 18, 1: 9, 2: 5, 3: 2, 4: 1}",0
54,False,"{'a': 0.9650925008813303, 'e': 0.9650925008813303}",30,0,-238.02943470997556,"{0: 15, 1: 3, 2: 7, 3: 2, 4: 3}",0
55,False,"{'a': 0.9637708963658905, 'e': 0.9637708963658905}",30,7,-47.37873167334944,"{0: 16, 1: 0, 2: 7, 3: 0, 4: 0}",1
56,False,"{'a': 0.962425197628238, 'e': 0.962425197628238}",30,0,-74.80535325706107,"{0: 22, 1: 1, 2: 5, 3: 2, 4: 0}",0
57,False,"{'a': 0.9610554383107709, 'e': 0.9610554383107709}",20,0,-162.75736028363187,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 3}",0
58,False,"{'a': 0.9596616526574011, 'e': 0.9596616526574011}",20,0,-189.32257730494118,"{0: 9, 1: 2, 2: 5, 3: 1, 4: 3}",0
59,False,"{'a': 0.9582438755126972, 'e': 0.9582438755126972}",20,0,-93.3915535839212,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
60,False,"{'a': 0.9568021423210139, 'e': 0.9568021423210139}",25,0,-193.88056348813743,"{0: 14, 1: 2, 2: 4, 3: 2, 4: 3}",0
61,False,"{'a': 0.955336489125606, 'e': 0.955336489125606}",30,0,-81.46634136675803,"{0: 20, 1: 2, 2: 6, 3: 2, 4: 0}",0
62,False,"{'a': 0.9538469525677271, 'e': 0.9538469525677271}",30,0,-135.0772979301434,"{0: 20, 1: 1, 2: 5, 3: 3, 4: 1}",0
63,False,"{'a': 0.9523335698857134, 'e': 0.9523335698857134}",20,0,-116.95922769107048,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",1
64,False,"{'a': 0.9507963789140532, 'e': 0.9507963789140532}",25,0,-141.08174801650964,"{0: 13, 1: 5, 2: 5, 3: 0, 4: 2}",0
65,False,"{'a': 0.9492354180824408, 'e': 0.9492354180824408}",20,4,-46.098027122197905,"{0: 10, 1: 2, 2: 3, 3: 1, 4: 0}",1
66,False,"{'a': 0.9476507264148157, 'e': 0.9476507264148157}",20,5,-66.67027106256819,"{0: 9, 1: 3, 2: 2, 3: 0, 4: 1}",1
67,False,"{'a': 0.946042343528387, 'e': 0.946042343528387}",30,0,-99.6495253501002,"{0: 22, 1: 1, 2: 4, 3: 2, 4: 1}",0
68,False,"{'a': 0.944410309632643, 'e': 0.944410309632643}",20,5,-53.390985327410085,"{0: 9, 1: 3, 2: 1, 3: 2, 4: 0}",1
69,False,"{'a': 0.9427546655283462, 'e': 0.9427546655283462}",25,3,-86.24343666474728,"{0: 13, 1: 2, 2: 5, 3: 2, 4: 0}",1
70,False,"{'a': 0.941075452606513, 'e': 0.941075452606513}",25,0,-151.07749922702862,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
71,False,"{'a': 0.9393727128473789, 'e': 0.9393727128473789}",20,0,-41.74075642259504,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
72,False,"{'a': 0.9376464888193493, 'e': 0.9376464888193493}",20,0,-105.60448370807582,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
73,False,"{'a': 0.9358968236779348, 'e': 0.9358968236779348}",20,0,-112.95598515135113,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
74,False,"{'a': 0.9341237611646731, 'e': 0.9341237611646731}",20,0,-129.73431467857205,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
75,False,"{'a': 0.9323273456060345, 'e': 0.9323273456060345}",20,0,-131.94218475561132,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
76,False,"{'a': 0.9305076219123143, 'e': 0.9305076219123143}",30,0,-102.81326911016511,"{0: 20, 1: 0, 2: 8, 3: 2, 4: 0}",0
77,False,"{'a': 0.9286646355765102, 'e': 0.9286646355765102}",20,0,-66.34608932733525,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
78,False,"{'a': 0.9267984326731847, 'e': 0.9267984326731847}",20,0,-38.78693294844618,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
79,False,"{'a': 0.9249090598573131, 'e': 0.9249090598573131}",25,0,-109.21593108384322,"{0: 17, 1: 4, 2: 1, 3: 1, 4: 2}",0
80,False,"{'a': 0.9229965643631173, 'e': 0.9229965643631173}",30,0,-233.03310875229653,"{0: 18, 1: 1, 2: 5, 3: 2, 4: 4}",0
81,False,"{'a': 0.9210609940028851, 'e': 0.9210609940028851}",25,0,-122.28014173611504,"{0: 15, 1: 5, 2: 1, 3: 3, 4: 1}",0
82,False,"{'a': 0.9191023971657747, 'e': 0.9191023971657747}",25,0,-128.06823958575035,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
83,False,"{'a': 0.9171208228166051, 'e': 0.9171208228166051}",20,0,-53.8562602065542,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
84,False,"{'a': 0.9151163204946318, 'e': 0.9151163204946318}",20,0,-140.49513224909037,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
85,False,"{'a': 0.9130889403123083, 'e': 0.9130889403123083}",20,0,-133.56525053539687,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
86,False,"{'a': 0.9110387329540337, 'e': 0.9110387329540337}",20,0,-83.41830472659872,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
87,False,"{'a': 0.9089657496748851, 'e': 0.9089657496748851}",20,0,-123.16888608027823,"{0: 8, 1: 5, 2: 5, 3: 1, 4: 1}",0
88,False,"{'a': 0.9068700422993367, 'e': 0.9068700422993367}",25,0,-123.5615466696058,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
89,False,"{'a': 0.9047516632199635, 'e': 0.9047516632199635}",35,0,-91.88350586680544,"{0: 23, 1: 4, 2: 6, 3: 2, 4: 0}",0
90,False,"{'a': 0.9026106653961321, 'e': 0.9026106653961321}",30,0,-148.99061832779378,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 2}",0
91,False,"{'a': 0.9004471023526769, 'e': 0.9004471023526769}",20,0,-166.67498920231654,"{0: 9, 1: 1, 2: 7, 3: 1, 4: 2}",0
92,False,"{'a': 0.8982610281785611, 'e': 0.8982610281785611}",20,3,-49.30055128204838,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 1}",1
93,False,"{'a': 0.8960524975255253, 'e': 0.8960524975255253}",20,0,-64.79773885675982,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
94,False,"{'a': 0.8938215656067205, 'e': 0.8938215656067205}",25,0,-144.73720588364134,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
95,False,"{'a': 0.8915682881953289, 'e': 0.8915682881953289}",20,0,-62.52771368244883,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
96,False,"{'a': 0.8892927216231682, 'e': 0.8892927216231682}",30,0,-142.62010093106332,"{0: 16, 1: 2, 2: 11, 3: 0, 4: 1}",0
97,False,"{'a': 0.8869949227792842, 'e': 0.8869949227792842}",20,0,-124.50485696416494,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
98,False,"{'a': 0.8846749491085283, 'e': 0.8846749491085283}",20,0,-62.03399633670399,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
99,False,"{'a': 0.8823328586101216, 'e': 0.8823328586101216}",30,0,-248.0065396047728,"{0: 18, 1: 0, 2: 7, 3: 0, 4: 5}",0
100,False,"{'a': 0.8799687098362042, 'e': 0.8799687098362042}",25,7,-7.066376712256734,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
101,False,"{'a': 0.8775825618903728, 'e': 0.8775825618903728}",35,0,-171.54285683610212,"{0: 22, 1: 3, 2: 6, 3: 2, 4: 2}",0
102,False,"{'a': 0.8751744744262013, 'e': 0.8751744744262013}",25,0,-25.484531116578335,"{0: 19, 1: 4, 2: 1, 3: 1, 4: 0}",0
103,False,"{'a': 0.8727445076457513, 'e': 0.8727445076457513}",30,0,-86.68853610164336,"{0: 20, 1: 3, 2: 4, 3: 3, 4: 0}",0
104,False,"{'a': 0.8702927222980654, 'e': 0.8702927222980654}",25,0,-75.31798136455429,"{0: 16, 1: 0, 2: 9, 3: 0, 4: 0}",0
105,False,"{'a': 0.8678191796776499, 'e': 0.8678191796776499}",20,0,-177.63389649822275,"{0: 10, 1: 1, 2: 4, 3: 3, 4: 2}",0
106,False,"{'a': 0.8653239416229412, 'e': 0.8653239416229412}",30,0,-219.98153668528107,"{0: 19, 1: 1, 2: 5, 3: 1, 4: 4}",0
107,False,"{'a': 0.862807070514761, 'e': 0.862807070514761}",20,0,-76.83276319409057,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
108,False,"{'a': 0.8602686292747557, 'e': 0.8602686292747557}",35,12,-148.8105132556802,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 3}",1
109,False,"{'a': 0.8577086813638242, 'e': 0.8577086813638242}",25,0,-157.36069439306914,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
110,False,"{'a': 0.8551272907805307, 'e': 0.8551272907805307}",20,0,-71.4198641348478,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
111,False,"{'a': 0.8525245220595057, 'e': 0.8525245220595057}",20,9,-58.09524937426543,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 1}",1
112,False,"{'a': 0.8499004402698315, 'e': 0.8499004402698315}",20,0,-167.90888182220237,"{0: 11, 1: 0, 2: 4, 3: 3, 4: 2}",0
113,False,"{'a': 0.8472551110134161, 'e': 0.8472551110134161}",20,0,-105.44726388720109,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
114,False,"{'a': 0.8445886004233532, 'e': 0.8445886004233532}",25,0,-165.88264481657285,"{0: 16, 1: 3, 2: 2, 3: 1, 4: 3}",0
115,False,"{'a': 0.8419009751622687, 'e': 0.8419009751622687}",20,0,-152.55608097916624,"{0: 13, 1: 2, 2: 0, 3: 2, 4: 3}",0
116,False,"{'a': 0.8391923024206541, 'e': 0.8391923024206541}",35,0,-88.74624336871855,"{0: 28, 1: 2, 2: 3, 3: 0, 4: 2}",0
117,False,"{'a': 0.8364626499151869, 'e': 0.8364626499151869}",20,0,-85.97967294244248,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
118,False,"{'a': 0.8337120858870376, 'e': 0.8337120858870376}",25,0,-89.27551834608266,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
119,False,"{'a': 0.8309406791001634, 'e': 0.8309406791001634}",25,0,-155.37333917097388,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",0
120,False,"{'a': 0.8281484988395901, 'e': 0.8281484988395901}",20,7,-146.00604332801268,"{0: 5, 1: 1, 2: 3, 3: 2, 4: 2}",1
121,False,"{'a': 0.8253356149096783, 'e': 0.8253356149096783}",20,0,-83.15484791947756,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
122,False,"{'a': 0.82250209763238, 'e': 0.82250209763238}",20,8,-43.0286137339524,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
123,False,"{'a': 0.8196480178454795, 'e': 0.8196480178454795}",30,0,-104.19997213071348,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 1}",0
